,brand,img_url,price
101,omega,https://cdn2.chrono24.com/images/uhren/images_91/s9/13466991_s210_v1578553044848.jpg,945
102,omega,https://cdn2.chrono24.com/images/uhren/images_58/s1/14072158_s210_v1580769385504.jpg,3595
103,omega,https://cdn2.chrono24.com/images/uhren/images_84/s7/13765784_s210_v1579697939024.jpg,1200
104,omega,https://cdn2.chrono24.com/images/uhren/images_04/s2/10097204_s210.jpg?v=1547729289144,7845
105,omega,https://cdn2.chrono24.com/images/uhren/images_63/s9/10583963_s210.jpg?v=1551777984684,4915
106,omega,https://cdn2.chrono24.com/images/uhren/images_02/s2/13014202_s210_v1574427529052.jpg,2950
107,omega,https://cdn2.chrono24.com/images/uhren/images_14/s3/10779314_s210_v1576317922616.jpg,1250
108,omega,https://cdn2.chrono24.com/images/uhren/images_51/s9/9255951_s210.jpg?v=1538344567251,8530
109,omega,https://cdn2.chrono24.com/images/uhren/images_13/s7/10852713_s210_v1554492910730.jpg,2250
110,omega,https://cdn2.chrono24.com/images/uhren/images_06/s9/13465906_s210_v1578544155533.jpg,2199
111,omega,https://cdn2.chrono24.com/images/uhren/images_71/s7/10444771_s210.jpg?v=1550845934959,3550
112,omega,https://cdn2.chrono24.com/images/uhren/images_01/s5/14136501_s210_v1581006689658.jpg,999
113,omega,https://cdn2.chrono24.com/images/uhren/images_98/s9/13945998_s210_v1580277993564.jpg,2126
114,omega,https://cdn2.chrono24.com/images/uhren/images_81/s6/4993681_s210.jpg?v=1,3885
115,omega,https://cdn2.chrono24.com/images/uhren/images_09/s1/13101109_s210_v1575288768618.jpg,8000
116,omega,https://cdn2.chrono24.com/images/uhren/images_04/s0/13146004_s210_v1575652356074.jpg,2450
117,omega,https://cdn2.chrono24.com/images/uhren/images_07/s3/6927307_s210_v1577225088873.jpg,6950
118,omega,https://cdn2.chrono24.com/images/uhren/images_37/s4/7471437_s210.jpg?v=1,795
119,omega,https://cdn2.chrono24.com/images/uhren/images_51/s3/13466351_s210_v1578547401941.jpg,1499
120,omega,https://cdn2.chrono24.com/images/uhren/images_65/s7/13639765_s210_v1579255930301.jpg,5604
121,omega,https://cdn2.chrono24.com/images/uhren/images_77/s9/13955977_s210_v1580305021216.jpg,1999
122,omega,https://cdn2.chrono24.com/images/uhren/images_35/s1/9883135_s210.jpg?v=1545389771808,4500
123,omega,https://cdn2.chrono24.com/images/uhren/images_16/s3/10409316_s210.jpg,1165
